5;5145;5145001;ANTIOQUIA;CARAMANTA;AGUADITA CHIQUITA
5;5138;5138008;ANTIOQUIA;CAÑASGORDAS;CARACOLAL
5;5138;5138014;ANTIOQUIA;CAÑASGORDAS;EL CAFE
5;5138;5138060;ANTIOQUIA;CAÑASGORDAS;UVITAL
5;5138;5138005;ANTIOQUIA;CAÑASGORDAS;BOTIJA ARRIBA
5;5147;5147030;ANTIOQUIA;CAREPA;ZARABANA
5;5147;5147012;ANTIOQUIA;CAREPA;EL ENCANTO
5;5147;5147016;ANTIOQUIA;CAREPA;LA CADENA
5;5154;5154030;ANTIOQUIA;CAUCASIA;LA VIRGEN
5;5154;5154031;ANTIOQUIA;CAUCASIA;LAS BATATAS
5;5148;5148026;ANTIOQUIA;CARMEN DE VIBORAL;LA AGUADA
5;5148;5148051;ANTIOQUIA;CARMEN DE VIBORAL;SANTA INES
5;5154;5154003;ANTIOQUIA;CAUCASIA;CAMPO ALEGRE
5;5147;5147003;ANTIOQUIA;CAREPA;BOCAS DEL CHIGORODO
5;5147;5147023;ANTIOQUIA;CAREPA;LAS TRECIENTAS
5;5147;5147022;ANTIOQUIA;CAREPA;LAS QUINIENTAS
5;5147;5147009;ANTIOQUIA;CAREPA;CASA VERDE
5;5154;5154013;ANTIOQUIA;CAUCASIA;EL TIGRE
5;5197;5197053;ANTIOQUIA;COCORNÁ;LAS MERCEDES
5;5197;5197067;ANTIOQUIA;COCORNÁ;SAN JOSE
5;5197;5197055;ANTIOQUIA;COCORNÁ;LOS CEDROS
5;5148;5148050;ANTIOQUIA;CARMEN DE VIBORAL;SANTA ANA
5;5148;5148014;ANTIOQUIA;CARMEN DE VIBORAL;DOS QUEBRADAS_QUEBRADONA
5;5190;5190003;ANTIOQUIA;CISNEROS;CAMPO ALEGRE
5;5190;5190010;ANTIOQUIA;CISNEROS;PALMIRA
5;5190;5190012;ANTIOQUIA;CISNEROS;SAN VICTORINO
5;5190;5190011;ANTIOQUIA;CISNEROS;SABANALARGA
5;5138;5138004;ANTIOQUIA;CAÑASGORDAS;BOTIJA ABAJO
5;5138;5138038;ANTIOQUIA;CAÑASGORDAS;LA MANGA
5;5138;5138058;ANTIOQUIA;CAÑASGORDAS;SANTO CRISTO
5;5148;5148009;ANTIOQUIA;CARMEN DE VIBORAL;CAMARGO
5;5197;5197066;ANTIOQUIA;COCORNÁ;SAN ANTONIO
5;5142;5142013;ANTIOQUIA;CARACOLÍ;QUEBRADONA
5;5190;5190013;ANTIOQUIA;CISNEROS;SANTA ANA
5;5190;5190006;ANTIOQUIA;CISNEROS;EL CADILLO
5;5148;5148034;ANTIOQUIA;CARMEN DE VIBORAL;LA MADERA
5;5150;5150001;ANTIOQUIA;CAROLINA;CLARITAS
5;5150;5150003;ANTIOQUIA;CAROLINA;LA GRANJA
5;5150;5150006;ANTIOQUIA;CAROLINA;TENCHE
5;5142;5142014;ANTIOQUIA;CARACOLÍ;SANTA ISABEL
5;5147;5147028;ANTIOQUIA;CAREPA;REMEDIA POBRE
5;5147;5147013;ANTIOQUIA;CAREPA;EL PALMAR
5;5138;5138037;ANTIOQUIA;CAÑASGORDAS;LA LOMA
5;5138;5138001;ANTIOQUIA;CAÑASGORDAS;ALTO DE LA ALDEA
5;5190;5190001;ANTIOQUIA;CISNEROS;BELLA FATIMA
5;5190;5190002;ANTIOQUIA;CISNEROS;BELLAVISTA
5;5190;5190009;ANTIOQUIA;CISNEROS;EL SILENCIO
5;5147;5147019;ANTIOQUIA;CAREPA;LA DANTA
5;5147;5147004;ANTIOQUIA;CAREPA;CAMPAMENTO
5;5147;5147014;ANTIOQUIA;CAREPA;EL TAGUAL
5;5147;5147005;ANTIOQUIA;CAREPA;CARACOLI
5;5147;5147001;ANTIOQUIA;CAREPA;ALTO BONITO
5;5147;5147008;ANTIOQUIA;CAREPA;CAREPITA KM4
5;5147;5147025;ANTIOQUIA;CAREPA;NUEVA ESPERANZA
5;5147;5147031;ANTIOQUIA;CAREPA;ZUNGO CAREPITA
5;5147;5147021;ANTIOQUIA;CAREPA;LA UNION 15
5;5154;5154006;ANTIOQUIA;CAUCASIA;EL ALMENDRO
5;5154;5154038;ANTIOQUIA;CAUCASIA;PUERTO COLOMBIA
5;5154;5154033;ANTIOQUIA;CAUCASIA;LAS NEGRAS
5;5148;5148020;ANTIOQUIA;CARMEN DE VIBORAL;EL RETIRO
5;5148;5148021;ANTIOQUIA;CARMEN DE VIBORAL;EL RETIRO
5;5190;5190007;ANTIOQUIA;CISNEROS;EL DOS
5;5190;5190014;ANTIOQUIA;CISNEROS;SANTA ELENA
5;5190;5190004;ANTIOQUIA;CISNEROS;CRUCES
5;5197;5197030;ANTIOQUIA;COCORNÁ;EL VIAO
